# Loaded config: /home/cstansbu/git_repositories/cell_cycle/pipelines/TrajectoryNet/config.yaml
adata: /nfs/turbo/umms-indikar/shared/projects/HSC/pipeline_outputs/integrated_anndata/cell_cycle/inputs/adata.h5ad
input: /nfs/turbo/umms-indikar/shared/projects/HSC/pipeline_outputs/integrated_anndata/cell_cycle/inputs/input_15comp_6time.npz
output: /nfs/turbo/umms-indikar/shared/projects/HSC/pipeline_outputs/integrated_anndata/cell_cycle/outputs
integration_args:
  times:
  - 10
  - 100
  - 200
args:
  dataset: /nfs/turbo/umms-indikar/shared/projects/HSC/pipeline_outputs/integrated_anndata/cell_cycle/inputs/input_15comp_6time.npz
  embedding_name: pca
  save: /nfs/turbo/umms-indikar/shared/projects/HSC/pipeline_outputs/integrated_anndata/cell_cycle/outputs
  niters: 500
  max_dim: 20
  time_scale: 0.5
  use_density: true
  rtol: 1e-4
  atol: 1e-5
  top_k_reg: 1.5
  batch_size: 8192
  vecint: 1e-5
  lr: 1e-2
  whiten: true
  training_noise: 0.0
  weight_decay: 1e-5
==================================================  SETTING UP MODEL  ==================================================
torch=2.7.1 | cuda=12.9 | cudnn=91200 | cuda_available=True
device=cuda:0 / 1 gpus | name=NVIDIA A100 80GB PCIe MIG 3g.40gb
capability=8.0 | mem_free=38.97 GiB / mem_total=39.25 GiB
==================================================  TRAINING  ==================================================
Density Loss 0.9485458731651306
Density Loss 0.9499654173851013
Density Loss 0.9511550068855286
Density Loss 0.9800671935081482
Density Loss 0.9538542628288269
Density Loss 0.9573433995246887
Density Loss 0.9710100293159485
Density Loss 0.9904993176460266
Density Loss 0.9631568789482117
Density Loss 0.9816780090332031
Density Loss 0.9865769743919373
Density Loss 0.9824077486991882
Density Loss 0.9769061207771301
Density Loss 0.9563739895820618
Density Loss 0.9770069122314453
Density Loss 0.9536060690879822
Density Loss 0.9722749590873718
Density Loss 0.9581775069236755
Density Loss 0.972930908203125
Density Loss 0.9821460843086243
Density Loss 0.9389166235923767
Density Loss 0.9675081372261047
Density Loss 0.9683085680007935
Density Loss 0.9494802355766296
Density Loss 0.9698476195335388
Density Loss 0.9586472511291504
Density Loss 0.9589055180549622
Density Loss 0.9683540463447571
Density Loss 0.9400568008422852
Density Loss 0.9539259076118469
Density Loss 0.9637767672538757
Density Loss 0.9635868072509766
Density Loss 0.9588571786880493
Density Loss 0.9661075472831726
Density Loss 0.9624334573745728
Density Loss 0.9570888876914978
Density Loss 0.9682602882385254
Density Loss 0.9612655639648438
Density Loss 0.9646244049072266
Density Loss 0.9633802771568298
Density Loss 0.9622676968574524
Density Loss 0.9636042714118958
Density Loss 0.9669029116630554
Density Loss 0.9808406829833984
Density Loss 0.9646849036216736
Density Loss 0.9674941897392273
Density Loss 0.9573955535888672
Density Loss 0.9606714248657227
Density Loss 0.9406488537788391
Density Loss 0.9750881195068359
Density Loss 0.9675177931785583
Density Loss 0.9705179333686829
Density Loss 0.9581602215766907
Density Loss 0.9781069755554199
Density Loss 0.9544111490249634
Density Loss 0.9641544222831726
Density Loss 0.9732851982116699
Density Loss 0.9676061868667603
Density Loss 0.9738195538520813
Density Loss 0.9853319525718689
Density Loss 0.9584865570068359
Density Loss 0.9791759848594666
Density Loss 0.9799222946166992
Density Loss 0.960361659526825
Density Loss 0.9893113374710083
Density Loss 0.9494227766990662
Density Loss 0.9524404406547546
Density Loss 0.970685601234436
Density Loss 0.9598703384399414
Density Loss 0.9365177154541016
Density Loss 0.9552478790283203
Density Loss 0.9476453065872192
Density Loss 0.9642320871353149
Density Loss 0.9574535489082336
Density Loss 0.9682208895683289
Density Loss 0.9643092155456543
Density Loss 0.9551510214805603
Density Loss 0.9805824160575867
Density Loss 1.0021129846572876
Density Loss 0.9798426628112793
Density Loss 0.9663829803466797
Density Loss 0.9813637733459473
Density Loss 0.9607765078544617
Density Loss 0.9785079956054688
Density Loss 0.9599176645278931
Density Loss 0.9660372734069824
Density Loss 0.9695777893066406
Density Loss 0.9695850610733032
Density Loss 0.9548471570014954
Density Loss 0.9411810040473938
Density Loss 0.957127571105957
Density Loss 0.9806802868843079
Density Loss 0.9533417820930481
Density Loss 0.9581487774848938
Density Loss 0.9716004729270935
Density Loss 0.9677432179450989
Density Loss 0.9534660577774048
Density Loss 0.9592553973197937
Density Loss 0.9697381854057312
Density Loss 0.9674841165542603
Density Loss 0.9670481085777283
Density Loss 0.9597175717353821
Density Loss 0.962863564491272
Density Loss 0.9753851890563965
Density Loss 0.9659647345542908
Density Loss 0.9776825308799744
Density Loss 0.9724957346916199
Density Loss 0.9730423092842102
Density Loss 0.9571456909179688
Density Loss 0.9655675292015076
Density Loss 0.9569132924079895
Density Loss 0.9694650769233704
Density Loss 0.9632232785224915
Density Loss 0.9766990542411804
Density Loss 0.9668818712234497
Density Loss 0.9624547362327576
Density Loss 0.9774870276451111
Density Loss 0.9686269760131836
Density Loss 0.9643670320510864
Density Loss 0.9596167802810669
Density Loss 0.9540999531745911
Density Loss 0.9582237601280212
Density Loss 0.9628959894180298
Density Loss 0.9754962921142578
Density Loss 0.9538105130195618
Density Loss 0.9746222496032715
Density Loss 0.9956390261650085
Density Loss 0.9735795855522156
Density Loss 0.9750982522964478
Density Loss 0.954749584197998
Density Loss 0.965157687664032
Density Loss 0.9551583528518677
Density Loss 0.978654682636261
Density Loss 0.9874659776687622
Density Loss 0.9582508206367493
Density Loss 0.9725490808486938
Density Loss 0.9540023803710938
Density Loss 0.9667062163352966
Density Loss 0.9363903403282166
Density Loss 0.9745939373970032
Density Loss 0.9811637997627258
Density Loss 0.9495599865913391
Density Loss 0.9665055274963379
Density Loss 0.9487053155899048
Density Loss 0.9884824752807617
Density Loss 0.9527460336685181
Density Loss 0.9512190222740173
Density Loss 0.9617069363594055
Density Loss 0.9642443060874939
Density Loss 0.9247711300849915
Density Loss 0.9485227465629578
Density Loss 0.9612923860549927
Density Loss 0.972137451171875
Density Loss 0.9768341183662415
Density Loss 0.9615055322647095
Density Loss 0.9681262969970703
Density Loss 0.971282958984375
Density Loss 0.955073356628418
Density Loss 0.9617925882339478
Density Loss 0.9609970450401306
Density Loss 0.968843936920166
Density Loss 0.9596118927001953
Density Loss 0.9669696688652039
Density Loss 0.9520314335823059
Density Loss 0.9641343951225281
Density Loss 0.9409537315368652
Density Loss 0.9670551419258118
Density Loss 0.9571157693862915
Density Loss 0.9592235684394836
Density Loss 0.9691430926322937
Density Loss 0.9631885886192322
Density Loss 0.9610792398452759
Density Loss 0.9831981658935547
Density Loss 0.9481266140937805
Density Loss 0.9597936868667603
Density Loss 0.9816150665283203
Density Loss 0.9685853123664856
Density Loss 0.9423385858535767
Density Loss 0.9518969655036926
Density Loss 0.9411203265190125
Density Loss 0.9703165292739868
Density Loss 0.9545229077339172
Density Loss 0.9518527984619141
Density Loss 0.9477971196174622
Density Loss 0.9461225867271423
Density Loss 0.9334136843681335
Density Loss 0.953342854976654
Density Loss 0.962712287902832
Density Loss 0.9505404829978943
Density Loss 0.9444714784622192
Density Loss 0.949501633644104
Density Loss 0.9412869811058044
Density Loss 0.9581613540649414
Density Loss 0.9551655054092407
Density Loss 0.9560167193412781
Density Loss 0.9687318801879883
Density Loss 0.956635594367981
Density Loss 0.9525222778320312
Density Loss 0.9714471697807312
Density Loss 0.9722663760185242
Density Loss 0.9514727592468262
Density Loss 0.9374409914016724
Density Loss 0.9457074403762817
Density Loss 0.9571318030357361
Density Loss 0.9610447287559509
Density Loss 0.9458072781562805
Density Loss 0.9482723474502563
Density Loss 0.9567410349845886
Density Loss 0.9403360486030579
Density Loss 0.9557361602783203
Density Loss 0.939918041229248
Density Loss 0.9363452196121216
Density Loss 0.9663500785827637
Density Loss 0.9498910903930664
Density Loss 0.9463894963264465
Density Loss 0.9888982772827148
Density Loss 0.9612858891487122
Density Loss 0.9527167677879333
Density Loss 0.9543479084968567
Density Loss 0.9493803381919861
Density Loss 0.9525390863418579
Density Loss 0.9395284056663513
Density Loss 0.9496369361877441
Density Loss 0.9406527876853943
Density Loss 0.942236602306366
Density Loss 0.952523410320282
Density Loss 0.9497784972190857
Density Loss 0.9523443579673767
Density Loss 0.9534023404121399
Density Loss 0.9620786905288696
Density Loss 0.9440679550170898
Density Loss 0.947133481502533
Density Loss 0.9521545767784119
Density Loss 0.9491198658943176
Density Loss 0.9545373916625977
Density Loss 0.9580292701721191
Density Loss 0.9541799426078796
Density Loss 0.9496429562568665
Density Loss 0.9375268816947937
Density Loss 0.9636187553405762
Density Loss 0.9460129737854004
Density Loss 0.9454290270805359
Density Loss 0.9476386904716492
Density Loss 0.9610748291015625
Density Loss 0.9366216659545898
Density Loss 0.9382817149162292
Density Loss 0.9298038482666016
Density Loss 0.957485020160675
Density Loss 0.923755943775177
Density Loss 0.9633407592773438
Density Loss 0.9125628471374512
Saved: /nfs/turbo/umms-indikar/shared/projects/HSC/pipeline_outputs/integrated_anndata/cell_cycle/outputs/training_history.csv
Saved: /nfs/turbo/umms-indikar/shared/projects/HSC/pipeline_outputs/integrated_anndata/cell_cycle/outputs/training_loss.png
